id,created_at,content,url,media,replies_count,reblogs_count,favourites_count
117071135057100871,2026-08-10T12:09:15.143Z,"This is big news! Lazy Senators donât play well in Iowa. President DJTIowa Democratsâ U.S. Senate candidate has absentee problem, missed nearly 60% of legislative votes: https://justthenews.com/politics-policy/elections/iowa-state-house-democrat-josh-turek-missed-nearly-60-votes-during-2026",https://truthsocial.com/@realDonaldTrump/117071135057100871,,607,1554,4516
117068101532228577,2026-08-09T23:17:47.227Z,Exclusive â Inside Greeceâs Migrant Control Operation Center: Migration Minister Reveals How Trump Win Sparked Worldwide Border Crackdown: https://www.breitbart.com/europe/2026/08/09/exclusive-inside-greeces-migrant-control-operation-center-migration-minister-reveals-how-trump-win-sparked-worldwide-border-crackdown/,https://truthsocial.com/@realDonaldTrump/117068101532228577,,1043,3472,12785
117067979698523937,2026-08-09T22:46:48.193Z,,https://truthsocial.com/@realDonaldTrump/117067979698523937,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/979/555/326/091/original/5ef3267dd0e67898.jpg,1401,2890,14391
117067974981018254,2026-08-09T22:45:36.210Z,,https://truthsocial.com/@realDonaldTrump/117067974981018254,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/974/809/882/665/original/5b6798041850ddae.jpg,590,2686,11996
117067966397933602,2026-08-09T22:43:25.242Z,,https://truthsocial.com/@realDonaldTrump/117067966397933602,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/965/631/232/369/original/dbed6d6eac85da49.mp4,336,2073,9615
117067837821298859,2026-08-09T22:10:43.319Z,"ALERT: A National Park Service career employee, a highly credible witness, saw David Hearn (ActBlue) in broad daylight vandalize the Reflecting Pool by âviolentlyâ ripping and tugging at the Poolâs somewhat delicate coating. The National Park Service employee provided this witness testimony to the U.S. Attorneyâs Office in early July, as seen below. Numerous other events took place, including using an acid like material on the just installed grass adjoining the Pool. On it were written the letters, â86 47,â a phrase probably gotten from James Comey. There was substantial other damage to the Reflecting Pool, also but, unfortunately, there is no video or proof, other than the damage, itself. We are working on the Pool, and it will reopen shortly. As with many jobs, there was also some contractor error done by rushing the job for a July 4th opening, but it was a very small area of this massive Pool, and was relatively inconsequential. Security cameras have been, and are being, installed. Thank you for your attention to this matter! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/117067837821298859,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/821/587/337/075/original/294bce9875dac04a.jpg,1610,4642,14885
117067668006565228,2026-08-09T21:27:32.150Z,"It is my Great Honor to announce that, effective September 1st, Will Scharf will become Assistant to the President and White House Counsel, replacing a man, David Warrington, who has done a truly outstanding job as White House Counsel and, before that, for my Presidential Campaign. David will be going on to the Private Sector.Â Will has done an amazing job in his current role as White House Staff Secretary, and has also served as Chairman of the National Capital Planning Commission.Â I know Will well! He previously represented me in numerous cases, including at the Supreme Court, during the Biden Administrationâs corrupt and illegal campaign of Weaponization.Â He also previously served as a Federal Prosecutor, worked as an attorney in private practice, clerked for two Federal Appeals Court Judges, and was a top student at both Princeton University, and Harvard Law School. Will is Tough, Strong, and Smart! He also loves our Country, and respects the Law. Will Scharf will do a great job as White House Counsel! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/117067668006565228,,436,3016,13285
117067614963933704,2026-08-09T21:14:02.784Z,"Black and Brown Voters donât want Communism or Socialism â Not surprisingly, they are flocking to the Republican Party! They remember that Abraham Lincoln was a Republican! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/117067614963933704,,1223,4656,18463
117067527191152715,2026-08-09T20:51:43.479Z,"With the great Gary Player, today, at Bedminster!",https://truthsocial.com/@realDonaldTrump/117067527191152715,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/526/736/652/646/original/4d0bf534ed79853b.jpg,667,2815,15566
117067520999490226,2026-08-09T20:50:09.002Z,51 years of bad behavior!,https://truthsocial.com/@realDonaldTrump/117067520999490226,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/520/830/478/688/original/2924cbdbb0d12463.jpg,1051,3262,13374
117067497912465638,2026-08-09T20:44:16.721Z,"The 10th Hole at Trump International Golf Club, Palm Beach County, Florida!",https://truthsocial.com/@realDonaldTrump/117067497912465638,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/496/743/111/454/original/e454aafb4bc907a1.mp4,441,2099,11256
117067400225404799,2026-08-09T20:19:26.136Z,RT: https://truthsocial.com/users/realDonaldTrump/statuses/117067399388398239,https://truthsocial.com/@realDonaldTrump/117067400225404799,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/399/930/192/787/original/a1e8db01f59ca5e3.png,674,3464,11269
117067399388398239,2026-08-09T20:19:13.365Z,,https://truthsocial.com/@realDonaldTrump/117067399388398239,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/067/398/772/470/921/original/1576ba7ed6fc0a4c.mp4,230,1966,8323
117066600252281502,2026-08-09T16:55:59.514Z,Gary Player at Trump Turnberry!,https://truthsocial.com/@realDonaldTrump/117066600252281502,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/066/574/888/429/170/original/c61aa6d0e798891f.jpg,700,2333,12369
